TimeStamps,Tweets,Replies,reTweets,Likes
2023-06-29T16:15:26.000Z,"#Seamaster

Precision at every level. 

300 metres. The 41 mm Seamaster 300 in stainless steel with matching bracelet. On the Summer Blue dial, OMEGA has filled the rhodium-plated hands, and open numerals with a unique light blue Super-LumiNova. http://omegawatches.com/PrecisionAtEveryLevel/Seamaster300…

#OMEGA",5,38,297
2023-06-29T10:00:47.000Z,"#Seamaster 

OMEGA in Mykonos.

Immerse yourself in a mythical setting for a beautiful event, bathed in bold Summer Blue. http://omegawatches.com/PrecisionAtEveryLevel…

#OMEGA",4,38,259
2023-06-28T11:00:04.000Z,"#Seamaster 

Precision at every level.

1200 metres. The Seamaster Ploprof crafted in O-MEGASTEEL, with a sun-brushed dial in OMEGA’s own Summer Blue, the iconic mono-bloc case, and a unique bezel ring in sapphire crystal. http://omegawatches.com/precision-at-every-level/ploprof-1200m…

#OMEGA",5,38,376
2020-09-23T15:00:01.000Z,"#SeamasterDiver 
Available soon in boutiques. The tantalum middle links of the bracelet take this Diver to another level. http://omegawatches.com/21060445103001",5,25,262
2020-09-22T15:00:04.000Z,"#SeamasterDiver 
Available soon in boutiques. Our new #Seamaster Diver emerges from the deep. A stunning chronograph in Grade 2 titanium with blue ceramic dial and gold ringed subdials. http://omegawatches.com/21060445103001",7,25,377
2020-09-21T10:00:01.000Z,"#SeamasterDiver 
Available soon in boutiques. A masterpiece in three materials. #OMEGA’s #Seamaster Diver 300M Chronograph in gold, titanium and tantalum. http://omegawatches.com/21060445103001",7,25,360
2020-09-19T15:00:02.000Z,"#BondWatch 
Titanium tough with innovative mesh bracelet. #NoTimeToDie http://omegawatches.com/BondWatch",7,25,547
2020-09-18T15:00:55.000Z,"#BondWatch 
From first sketches to final engraving. Follow the making of our new 
@007
 Edition Diver. #NoTimeToDie http://omegawatches.com/BondWatch",9,25,444
2020-09-01T15:00:01.000Z,"#Ladymatic
Snow-set diamonds and sun-drenched gold. The brilliantly beautiful Ladymatic. http://omegawatches.com/42565342055009",,16,143
2020-08-30T14:38:01.000Z,"#DeVille
Bathed in gold. The De Ville Prestige with two-zone champagne dial. http://omegawatches.com/42450332008001",,16,186
2020-08-28T15:00:07.000Z,"#SeamasterDiver / #Nekton
Just wait until you see the “Seamaster 2” submarine on the caseback! This #Seamaster, with its black ceramic dial and titanium bezel, celebrates our ocean research with 
@NEKTONMission
. http://omegawatches.com/SeamasterDiverNekton…",6,16,454
2020-08-27T14:34:49.000Z,"#SeamasterDiver / #Nekton
See how #OMEGA is supporting 
@NEKTONMission
 in its vital research of our oceans. The global goal is to reach 30% protection by 2030, so the submarines are already hard at work. We look forward to many missions ahead. http://omegawatches.com/SeamasterDiverNekton…",,16,162
2020-08-26T10:00:02.000Z,"#SeamasterDiver / #Nekton
Making time for the planet. Our newest #Seamaster Diver 300M is created in support of 
@NEKTONMission
, who are diving deep to protect the world’s oceans. http://omegawatches.com/SeamasterDiverNekton…",7,16,429
2020-08-25T15:00:01.000Z,"#SeamasterAquaTerra
Shoreline style. The #Seamaster Aqua Terra in stainless steel. http://omegawatches.com/OMEGAByTheSea",3,16,397
2020-08-12T10:00:02.000Z,"#SeamasterDiver
Since 1995, #OMEGA has served on the wrist of James Bond 
@007
. Our latest #Seamaster Diver has paid tribute to the partnership in sophisticated platinum-gold. http://omegawatches.com/JamesBondNumberedEdition…",9,67,451
2020-08-11T15:00:05.000Z,"#OMEGATresor
Picnic chic! The 18K Sedna™ gold Trésor with silvery dial. http://omegawatches.com/OMEGASummer",,67,97
2020-08-10T15:00:08.000Z,"#Seamaster / #OMEGAEyewear
Seamaster and sunnies. A classy combo for casual days. http://omegawatches.com/OMEGASummer",3,67,261
2020-08-10T05:38:46.000Z,"#OMEGAGolf / #PGAChamp
Congratulations to our friend 
@Collin_Morikawa
, proud winner of the 
@PGAChampionship
. A major win and stunning performance! http://omegawatches.com/33110425101001",,67,89
2020-08-09T15:00:05.000Z,"#SeamasterAquaTerra
Keeping it cool at the hottest time of the day. http://omegawatches.com/OMEGASummer",3,67,149
2020-07-22T14:21:37.000Z,"#Speedmaster
Beauty is in the eye of the watchmaker. For the Calibre 321, the final checks are intense and uncompromising. http://omegawatches.com/Calibre321",6,42,256
2020-07-21T10:00:01.000Z,"#SpeedyTuesday
Our newest #Speedmaster. Inspired by the watch worn during America’s first ever spacewalk, and powered by the iconic Calibre 321 that you all know and love. http://omegawatches.com/Calibre321",6,42,431
2020-07-20T15:00:02.000Z,"#OMEGAConstellation
Casual sophistication. http://omegawatches.com/13150392002001",2,42,134
2020-07-19T15:00:02.000Z,"#OMEGAConstellation
A star worth wearing. http://omegawatches.com/13110392002001",,42,230
2020-07-18T15:00:01.000Z,"#OMEGAConstellation
Saturday night in aventurine. http://omegawatches.com/13155292053003",1,42,163
2020-06-27T15:06:18.000Z,"#OMEGAConstellation
We’ve flown around the stars to help you find your favourite 5th generation Constellation. http://omegawatches.com/ConstellationLadies…",3,25,183
2020-06-27T12:00:03.000Z,"#OMEGAEyewear
It’s #NationalSunglassesDay. Time in the sun means protecting your eyes, and #OMEGA has some inspired choices to keep you shaded, as well as looking good. http://omegawatches.com/Eyewear",2,25,176
2020-06-26T15:00:05.000Z,"#OMEGAConstellation
As precise as nature and just as beautiful. Discover the latest Constellation collection. http://omegawatches.com/13125292055002",1,25,130
2020-06-24T15:00:02.000Z,"#OMEGANATO
Take your pick. Our new 3-stripe NATO Straps come in a range of unique colours. http://omegawatches.com/NATO",5,25,126
2020-06-23T12:55:46.000Z,"#OMEGAOfficialTimekeeper
It’s Olympic Day! The perfect time to celebrate our 28 Olympic Games since 1932.",3,25,126
2020-06-22T15:00:03.000Z,"#OMEGANATO / #SeamasterDiver
Diver with a twist. Play around with our NATO Straps and see which one suits your #OMEGA. http://omegawatches.com/NATO",5,25,376
